-100 -100 200
 100 -100 200
 100 -80  200
-100 -80  200
-100 -60  200
 100 -60  200
 100 -40  200
-100 -40  200
-100 -20  200
 100 -20  200
 100  0   200
-100  0   200
-100  20  200
 100  20  200
 100  40  200
-100  40  200
-100  60  200
 100  60  200
 100  80  200
-100  80 200
-100  100 200
 100  100 200
 100 -100 200
-100 -100 200
-100  100 200
-80   100 200
-80  -100 200
-60  -100 200
-60   100 200
-40   100 200
-40  -100 200
-20  -100 200
-20   100 200
  0   100 200
  0  -100 200
 20  -100 200
 20   100 200
 40   100 200
 40  -100 200
 60  -100 200
 60   100 200
 80   100 200
 80  -100 200
100  -100 200
100   100 200
-100 -100 200
 100 -100 200
 100 -80  200
-100 -80  200
-100 -60  200
 100 -60  200
 100 -40  200
-100 -40  200
-100 -20 200
 100 -20  200
 100  0   200
-100  0   200
-100  20  200
 100  20  200
 100  40  200
-100  40  200
-100  60  200
 100  60  200
 100  80  200
-100  80  200
-100  100 200
 100  100 200
 100 -100 200
-100 -100 200
-100  100 200
-80   100 200
-80  -100 200
-60  -100 200
-60   100 200
-40   100 200
-40  -100 200
-20  -100 200
-20   100 200
  0   100 200
  0  -100 200
 20  -100 200
 20   100 200
 40   100 200
 40  -100 200
 60  -100 200
 60   100 200
 80   100 200
 80  -100 200
100  -100 200
